Слово,Частота,Частота(%)
и,4927,4.418874%
в,2367,2.122889%
не,1971,1.767729%
он,1808,1.621539%
что,1782,1.598221%
на,1622,1.454722%
с,1393,1.249339%
как,1079,0.967722%
к,876,0.785657%
я,862,0.773101%
его,850,0.762339%
то,782,0.701352%
князь,624,0.559646%
но,603,0.540812%
это,584,0.523772%
она,570,0.511215%
сказал,567,0.508525%
было,498,0.446641%
за,497,0.445744%
так,490,0.439466%
а,475,0.426013%
по,457,0.409869%
всё,421,0.377582%
из,404,0.362335%
ему,392,0.351573%
от,385,0.345295%
вы,375,0.336326%
был,368,0.330048%
же,367,0.329151%
ее,358,0.321079%
у,329,0.295070%
бы,323,0.289689%
о,318,0.285204%
только,304,0.272648%
андрей,293,0.262783%
еще,291,0.260989%
мне,234,0.209867%
все,232,0.208074%
ты,230,0.206280%
ростов,228,0.204486%
для,219,0.196414%
него,217,0.194621%
de,216,0.193724%
пьер,214,0.191930%
да,208,0.186549%
уже,207,0.185652%
была,207,0.185652%
они,201,0.180271%
себя,199,0.178477%
когда,197,0.176683%
сказала,195,0.174889%
говорил,191,0.171302%
теперь,184,0.165024%
очень,183,0.164127%
вот,181,0.162333%
чтобы,180,0.161436%
ну,178,0.159643%
vous,176,0.157849%
будто,174,0.156055%
их,173,0.155158%
ни,173,0.155158%
были,173,0.155158%
быть,173,0.155158%
время,171,0.153365%
нет,170,0.152468%
a,163,0.146190%
меня,163,0.146190%
который,162,0.145293%
ничего,161,0.144396%
или,160,0.143499%
до,158,0.141705%
князя,156,0.139912%
этого,154,0.138118%
анна,152,0.136324%
того,151,0.135427%
опять,150,0.134530%
вас,149,0.133633%
княжна,142,0.127355%
всех,141,0.126459%
глаза,138,0.123768%
под,138,0.123768%
чем,137,0.122871%
лицо,136,0.121974%
будет,136,0.121974%
ли,134,0.120180%
que,134,0.120180%
этот,130,0.116593%
себе,128,0.114799%
ежели,127,0.113902%
тем,127,0.113902%
et,127,0.113902%
вам,127,0.113902%
том,126,0.113005%
где,125,0.112109%
при,123,0.110315%
мы,122,0.109418%
василий,121,0.108521%
est,118,0.105831%
je,115,0.103140%
la,115,0.103140%
мой,115,0.103140%
во,114,0.102243%
дело,113,0.101346%
которые,112,0.100449%
один,112,0.100449%
le,111,0.099552%
вдруг,108,0.096862%
более,108,0.096862%
после,108,0.096862%
руку,107,0.095965%
мог,107,0.095965%
хорошо,106,0.095068%
граф,106,0.095068%
может,105,0.094171%
свою,105,0.094171%
со,104,0.093274%
mon,104,0.093274%
офицер,103,0.092378%
кутузов,103,0.092378%
m,102,0.091481%
перед,101,0.090584%
раз,101,0.090584%
человек,100,0.089687%
ним,100,0.089687%
сам,100,0.089687%
княгиня,99,0.088790%
ей,98,0.087893%
другой,98,0.087893%
несколько,97,0.086996%
кто,94,0.084306%
ваше,92,0.082512%
эти,91,0.081615%
l,89,0.079821%
лошадь,89,0.079821%
всегда,87,0.078028%
между,87,0.078028%
там,86,0.077131%
друг,86,0.077131%
михайловна,86,0.077131%
солдат,85,0.076234%
надо,85,0.076234%
своей,84,0.075337%
знаю,84,0.075337%
своего,84,0.075337%
видимо,83,0.074440%
борис,82,0.073543%
отвечал,82,0.073543%
им,81,0.072646%
потому,81,0.072646%
людей,81,0.072646%
своим,81,0.072646%
через,81,0.072646%
спросил,80,0.071750%
без,79,0.070853%
над,79,0.070853%
ней,79,0.070853%
два,78,0.069956%
пьера,77,0.069059%
которое,76,0.068162%
которой,76,0.068162%
эту,76,0.068162%
нее,76,0.068162%
человека,75,0.067265%
про,75,0.067265%
les,74,0.066368%
голову,74,0.066368%
этих,74,0.066368%
улыбаясь,73,0.065471%
ne,72,0.064575%
тебе,72,0.064575%
нибудь,72,0.064575%
князю,72,0.064575%
думал,71,0.063678%
говорила,71,0.063678%
этой,70,0.062781%
вперед,70,0.062781%
потом,69,0.061884%
минуту,69,0.061884%
здесь,68,0.060987%
генерал,68,0.060987%
есть,67,0.060090%
графа,67,0.060090%
видел,67,0.060090%
несмотря,67,0.060090%
казалось,67,0.060090%
этом,66,0.059193%
марья,66,0.059193%
улыбкой,65,0.058296%
павловна,65,0.058296%
больше,65,0.058296%
слова,64,0.057400%
войска,64,0.057400%
которая,64,0.057400%
лице,64,0.057400%
pas,64,0.057400%
bourienne,64,0.057400%
нему,63,0.056503%
говорить,63,0.056503%
впереди,63,0.056503%
нужно,63,0.056503%
которого,63,0.056503%
вместе,62,0.055606%
un,62,0.055606%
руки,62,0.055606%
lle,62,0.055606%
подумал,62,0.055606%
даже,62,0.055606%
знал,62,0.055606%
голос,62,0.055606%
il,61,0.054709%
чего,61,0.054709%
могу,61,0.054709%
назад,61,0.054709%
графиня,60,0.053812%
